School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
AVIATION HS - QUEENS,Q,24,FUEL FIRE/ROOFS/PARAPETS/MASONRY/FLOOD/GYM UPG/WIN,17941252,CIP,Q610,45-30 36 STREET,Queens,11101,QUEENS   ,40.743509,-73.929076,2,26,179,4436685,4002260001,Hunters Point-Sunnyside-West Maspeth                                       ,"(40.743509, -73.929076)",
P.S. 219 - BROOKLYN,K,18,WATER INFILTRATION/ROOFS/EXT MASONRY/PARAPETS,18388000,CIP,K219,1060 CLARKSON AVENUE,Brooklyn,11212,BROOKLYN ,40.659288,-73.922919,17,41,886,3101168,3046480001,Rugby-Remsen Village                                                       ,"(40.659288, -73.922919)",11/13/2017
P.S. 102 - QUEENS,Q,24,ADA UPGRADE,2777000,CIP,Q102,55-24 VAN HORN STREET,Queens,11373,QUEENS   ,40.733514,-73.877857,4,25,479,4437597,4028790031,Elmhurst-Maspeth                                                           ,"(40.733514, -73.877857)",
P.S. 116 - QUEENS,Q,29,EXT MASONRY/ROOFS/CONCRETE ROOF DECK/PARAPETS,8800000,CIP,Q116,107-25 WREN PLACE,Queens,11433,QUEENS   ,40.700606,-73.782302,12,27,414,4218416,4102500001,South Jamaica                                                              ,"(40.700606, -73.782302)",11/13/2017
I.S. 419 - QUEENS,Q,24,Demo,6224000,CAP,Q419,111-10 ASTORIA BOULEVARD,Queens,11369,QUEENS   ,40.7599,-73.859218,3,21,373,4000000,4017050005,East Elmhurst                                                              ,"(40.7599, -73.859218)",11/13/2017
TOTTENVILLE HS - STATEN ISLAND,R,31,FY 16 RESO A WIRING UPGRADE,1335000,CIP,R455,100 LUTEN AVENUE,Staten Island,10312,STATEN IS,40.528092,-74.192032,3,51,198,5082634,5066130001,Annadale-Huguenot-Prince's Bay-Eltingville                                 ,"(40.528092, -74.192032)",
CLARA BARTON HS - K,K,17,FAILING COPING STONE/ROOFS,7064000,CIP,K600,901 CLASSON AVENUE,Brooklyn,11225,BROOKLYN ,40.669567,-73.961962,9,35,213,3029702,3011880001,Crown Heights South                                                        ,"(40.669567, -73.961962)",
BERGTRAUM HS - MANHATTAN,M,2,SCIENCE LAB UPGRADE/FIRE ALARM SYSTEMS,8097230,CIP,M520,411 PEARL STREET,Manhattan,10038,MANHATTAN,40.711442,-74.000851,1,1,29,1001388,1001130100,Chinatown                                                                  ,"(40.711442, -74.000851)",11/13/2017
P.S. 45 - STATEN ISLAND,R,31,ROOFS/PARAPETS /EXTERIOR MASONRY/FLOOD ELIMINATION,11349891,CIP,R045,58 LAWRENCE AVENUE,Staten Island,10310,STATEN IS,40.628558,-74.107148,1,49,121,5007417,5002760007,New Brighton-Silver Lake                                                   ,"(40.628558, -74.107148)",
P.S. 115 - QUEENS,Q,26,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5544000,CIP,Q115,80-51 261 STREET,Queens,11004,QUEENS   ,40.744099,-73.709845,13,23,157902,4178127,4087170001,Glen Oaks-Floral Park-New Hyde Park                                        ,"(40.744099, -73.709845)",
PRE-K CENTER @ 369 93RD STREET - BROOKLYN,K,20,New,27637000,CAP,K613,369 93RD STREET,Brooklyn,11209,BROOKLYN ,40.618041,-74.031381,10,43,58,3155119,3061030042,Bay Ridge                                                                  ,"(40.618041, -74.031381)",
